,Unnamed: 0,RMA,SPEI-6,SPEI-3,SPEI-2,SPEI-1,PDSI,PDSISC,PDSIZ,SPI-6,SPI-3,SPI-2,SPI-1,EDDI-6,EDDI-3,EDDI-2,EDDI-1
0,1,0.7,-0.616817131,-0.622193701,-0.626082825,-0.636637671,-1.691369961,-1.488853138,-1.167841095,-0.5705869796991347,-0.5519436942577358,-0.5279897743463513,-0.42807342690229433,-0.5423757519721986,-0.5246584812164306,-0.5120820773601531,-0.45257438373565684
1,2,0.75,-0.486880882,-0.492814108,-0.49570260899999996,-0.5068334489999999,-1.417446026,-1.251668494,-0.9672822040000001,-0.4454939051628113,-0.433762103462219,-0.4163543791055675,-0.33442002058029185,-0.4248794379234315,-0.4114708465099335,-0.40308657727241504,-0.3567415790557862
2,3,0.8,-0.35491438,-0.361637575,-0.36532239200000005,-0.377029227,-1.124845459,-1.005533486,-0.76170934,-0.3188936851501465,-0.31697088432312004,-0.3059875679016111,-0.24307904404401803,-0.30990090203285225,-0.3007984925746918,-0.2966063579559326,-0.26259005165100113
3,4,0.85,-0.22497813100000003,-0.23405492,-0.237356624,-0.247225005,-0.7575383640000001,-0.732547387,-0.561150449,-0.19380061061382303,-0.20017966518402064,-0.1968893407344816,-0.1528942824006081,-0.19744014430046075,-0.19347984633445736,-0.19264141941070556,-0.17096044015884404
4,5,0.9,-0.095041882,-0.106472266,-0.109390856,-0.11965878699999999,0.5685025020000001,-0.365582466,-0.350563613,-0.07021468155384047,-0.08477881770133955,-0.08905969760417909,-0.06502195054292681,-0.08749716472625746,-0.08783805394172672,-0.09119176163673393,-0.07933082866668695
