,State,Strike Level,DM Category,Missed (sum),Missed (ratio),Strike Events,DM Events
952,Missouri,0.8,D0,16086,0.54,17774,29601
953,Missouri,0.85,D0,14518,0.49,20504,29601
954,Missouri,0.9,D0,12956,0.44,23389,29601
955,Missouri,0.7,D1,6144,0.61,12776,10145
956,Missouri,0.75,D1,5609,0.55,15239,10145
957,Missouri,0.8,D1,5131,0.51,17774,10145
958,Missouri,0.85,D1,4667,0.46,20504,10145
959,Missouri,0.9,D1,4176,0.41,23389,10145
960,Missouri,0.7,D2,1840,0.53,12776,3443
961,Missouri,0.75,D2,1683,0.49,15239,3443
962,Missouri,0.8,D2,1541,0.45,17774,3443
963,Missouri,0.85,D2,1409,0.41,20504,3443
964,Missouri,0.9,D2,1272,0.37,23389,3443
965,Missouri,0.7,D3,431,0.45,12776,955
966,Missouri,0.75,D3,391,0.41,15239,955
967,Missouri,0.8,D3,349,0.37,17774,955
968,Missouri,0.85,D3,316,0.33,20504,955
969,Missouri,0.9,D3,279,0.29,23389,955
970,Missouri,0.7,D4,27,0.35,12776,77
971,Missouri,0.75,D4,25,0.32,15239,77
972,Missouri,0.8,D4,25,0.32,17774,77
973,Missouri,0.85,D4,25,0.32,20504,77
974,Missouri,0.9,D4,22,0.29,23389,77
975,Nevada,0.7,D0,40356,0.54,40989,74077
976,Nevada,0.75,D0,37846,0.51,44188,74077
977,Nevada,0.8,D0,35461,0.48,47321,74077
978,Nevada,0.85,D0,33165,0.45,50319,74077
979,Nevada,0.9,D0,30960,0.42,53188,74077
980,Nevada,0.7,D1,29243,0.54,40989,54315
981,Nevada,0.75,D1,27297,0.5,44188,54315
982,Nevada,0.8,D1,25499,0.47,47321,54315
983,Nevada,0.85,D1,23731,0.44,50319,54315
984,Nevada,0.9,D1,22041,0.41,53188,54315
985,Nevada,0.7,D2,19502,0.56,40989,35088
986,Nevada,0.75,D2,18258,0.52,44188,35088
987,Nevada,0.8,D2,17113,0.49,47321,35088
988,Nevada,0.85,D2,16000,0.46,50319,35088
989,Nevada,0.9,D2,14904,0.42,53188,35088
990,Nevada,0.7,D3,7910,0.57,40989,13767
991,Nevada,0.75,D3,7422,0.54,44188,13767
992,Nevada,0.8,D3,6976,0.51,47321,13767
993,Nevada,0.85,D3,6564,0.48,50319,13767
994,Nevada,0.9,D3,6163,0.45,53188,13767
995,Nevada,0.7,D4,1046,0.67,40989,1563
996,Nevada,0.75,D4,986,0.63,44188,1563
997,Nevada,0.8,D4,940,0.6,47321,1563
998,Nevada,0.85,D4,883,0.56,50319,1563
999,Nevada,0.9,D4,840,0.54,53188,1563
1000,New Jersey,0.7,D0,1579,0.64,1193,2471
1001,New Jersey,0.75,D0,1434,0.58,1474,2471
1002,New Jersey,0.8,D0,1291,0.52,1823,2471
1003,New Jersey,0.85,D0,1154,0.47,2203,2471
1004,New Jersey,0.9,D0,1007,0.41,2605,2471
1005,New Jersey,0.7,D1,450,0.65,1193,691
1006,New Jersey,0.75,D1,416,0.6,1474,691
1007,New Jersey,0.8,D1,380,0.55,1823,691
1008,New Jersey,0.85,D1,342,0.49,2203,691
1009,New Jersey,0.9,D1,301,0.44,2605,691
1010,New Jersey,0.7,D2,172,0.72,1193,238
1011,New Jersey,0.75,D2,154,0.65,1474,238
1012,New Jersey,0.8,D2,137,0.58,1823,238
1013,New Jersey,0.85,D2,120,0.5,2203,238
1014,New Jersey,0.9,D2,108,0.45,2605,238
1015,New Jersey,0.7,D3,55,0.74,1193,74
1016,New Jersey,0.75,D3,45,0.61,1474,74
1017,New Jersey,0.8,D3,40,0.54,1823,74
1018,New Jersey,0.85,D3,36,0.49,2203,74
1019,New Jersey,0.9,D3,28,0.38,2605,74
1020,New Jersey,0.7,D4,,,1193,
1021,New Jersey,0.75,D4,,,1474,
1022,New Jersey,0.8,D4,,,1823,
1023,New Jersey,0.85,D4,,,2203,
1024,New Jersey,0.9,D4,,,2605,
1025,New York,0.7,D0,10824,0.75,5970,14484
1026,New York,0.75,D0,9923,0.69,8266,14484
1027,New York,0.8,D0,8956,0.62,10733,14484
1028,New York,0.85,D0,7938,0.55,13389,14484
1029,New York,0.9,D0,7021,0.48,16019,14484
1030,New York,0.7,D1,1751,0.81,5970,2151
1031,New York,0.75,D1,1629,0.76,8266,2151
1032,New York,0.8,D1,1479,0.69,10733,2151
1033,New York,0.85,D1,1289,0.6,13389,2151
1034,New York,0.9,D1,1109,0.52,16019,2151
1035,New York,0.7,D2,382,0.84,5970,456
1036,New York,0.75,D2,360,0.79,8266,456
1037,New York,0.8,D2,330,0.72,10733,456
1038,New York,0.85,D2,282,0.62,13389,456
1039,New York,0.9,D2,240,0.53,16019,456
1040,New York,0.7,D3,28,0.93,5970,30
1041,New York,0.75,D3,26,0.87,8266,30
1042,New York,0.8,D3,26,0.87,10733,30
1043,New York,0.85,D3,25,0.83,13389,30
1044,New York,0.9,D3,22,0.73,16019,30
1045,New York,0.7,D4,,,5970,
1046,New York,0.75,D4,,,8266,
1047,New York,0.8,D4,,,10733,
1048,New York,0.85,D4,,,13389,
1049,New York,0.9,D4,,,16019,
1050,North Dakota,0.7,D0,21303,0.57,19788,37631
1051,North Dakota,0.75,D0,19758,0.53,22238,37631
1052,North Dakota,0.8,D0,18196,0.48,24824,37631
1053,North Dakota,0.85,D0,16677,0.44,27427,37631
1054,North Dakota,0.9,D0,15366,0.41,29868,37631
1055,North Dakota,0.7,D1,6195,0.51,19788,12059
1056,North Dakota,0.75,D1,5752,0.48,22238,12059
1057,North Dakota,0.8,D1,5316,0.44,24824,12059
1058,North Dakota,0.85,D1,4833,0.4,27427,12059
1059,North Dakota,0.9,D1,4450,0.37,29868,12059
1060,North Dakota,0.7,D2,1976,0.46,19788,4311
1061,North Dakota,0.75,D2,1797,0.42,22238,4311
1062,North Dakota,0.8,D2,1635,0.38,24824,4311
1063,North Dakota,0.85,D2,1457,0.34,27427,4311
1064,North Dakota,0.9,D2,1325,0.31,29868,4311
1065,North Dakota,0.7,D3,332,0.37,19788,893
1066,North Dakota,0.75,D3,301,0.34,22238,893
1067,North Dakota,0.8,D3,261,0.29,24824,893
1068,North Dakota,0.85,D3,208,0.23,27427,893
1069,North Dakota,0.9,D3,174,0.19,29868,893
1070,North Dakota,0.7,D4,,,19788,23
1071,North Dakota,0.75,D4,,,22238,23
1072,North Dakota,0.8,D4,,,24824,23
1073,North Dakota,0.85,D4,,,27427,23
1074,North Dakota,0.9,D4,,,29868,23
1075,Ohio,0.7,D0,8592,0.71,5635,12178
1076,Ohio,0.75,D0,7758,0.64,7584,12178
1077,Ohio,0.8,D0,6959,0.57,9627,12178
1078,Ohio,0.85,D0,6185,0.51,11780,12178
1079,Ohio,0.9,D0,5442,0.45,13940,12178
1080,Ohio,0.7,D1,1572,0.71,5635,2208
1081,Ohio,0.75,D1,1421,0.64,7584,2208
1082,Ohio,0.8,D1,1260,0.57,9627,2208
1083,Ohio,0.85,D1,1127,0.51,11780,2208
1084,Ohio,0.9,D1,1006,0.46,13940,2208
1085,Ohio,0.7,D2,289,0.82,5635,352
1086,Ohio,0.75,D2,266,0.76,7584,352
1087,Ohio,0.8,D2,240,0.68,9627,352
1088,Ohio,0.85,D2,210,0.6,11780,352
1089,Ohio,0.9,D2,185,0.53,13940,352
1090,Ohio,0.7,D3,25,0.71,5635,35
1091,Ohio,0.75,D3,25,0.71,7584,35
1092,Ohio,0.8,D3,23,0.66,9627,35
1093,Ohio,0.85,D3,22,0.63,11780,35
1094,Ohio,0.9,D3,21,0.6,13940,35
1095,Ohio,0.7,D4,,,5635,
1096,Ohio,0.75,D4,,,7584,
1097,Ohio,0.8,D4,,,9627,
1098,Ohio,0.85,D4,,,11780,
1099,Ohio,0.9,D4,,,13940,
1100,Rhode Island,0.7,D0,212,0.65,158,326
1101,Rhode Island,0.75,D0,198,0.61,186,326
1102,Rhode Island,0.8,D0,179,0.55,233,326
1103,Rhode Island,0.85,D0,168,0.52,271,326
1104,Rhode Island,0.9,D0,153,0.47,308,326
1105,Rhode Island,0.7,D1,68,0.62,158,110
1106,Rhode Island,0.75,D1,62,0.56,186,110
1107,Rhode Island,0.8,D1,60,0.55,233,110
1108,Rhode Island,0.85,D1,54,0.49,271,110
1109,Rhode Island,0.9,D1,48,0.44,308,110
1110,Rhode Island,0.7,D2,16,0.8,158,20
1111,Rhode Island,0.75,D2,14,0.7,186,20
1112,Rhode Island,0.8,D2,13,0.65,233,20
1113,Rhode Island,0.85,D2,10,0.5,271,20
1114,Rhode Island,0.9,D2,9,0.45,308,20
1115,Rhode Island,0.7,D3,,,158,
1116,Rhode Island,0.75,D3,,,186,
1117,Rhode Island,0.8,D3,,,233,
1118,Rhode Island,0.85,D3,,,271,
1119,Rhode Island,0.9,D3,,,308,
1120,Rhode Island,0.7,D4,,,158,
1121,Rhode Island,0.75,D4,,,186,
1122,Rhode Island,0.8,D4,,,233,
1123,Rhode Island,0.85,D4,,,271,
1124,Rhode Island,0.9,D4,,,308,
1125,Tennessee,0.7,D0,11104,0.65,7587,17203
1126,Tennessee,0.75,D0,10001,0.58,9486,17203
1127,Tennessee,0.8,D0,8798,0.51,11587,17203
1128,Tennessee,0.85,D0,7671,0.45,13594,17203
1129,Tennessee,0.9,D0,6610,0.38,15603,17203
1130,Tennessee,0.7,D1,3725,0.59,7587,6300
1131,Tennessee,0.75,D1,3267,0.52,9486,6300
1132,Tennessee,0.8,D1,2798,0.44,11587,6300
1133,Tennessee,0.85,D1,2381,0.38,13594,6300
1134,Tennessee,0.9,D1,1980,0.31,15603,6300
1135,Tennessee,0.7,D2,1727,0.58,7587,2959
1136,Tennessee,0.75,D2,1530,0.52,9486,2959
1137,Tennessee,0.8,D2,1307,0.44,11587,2959
1138,Tennessee,0.85,D2,1095,0.37,13594,2959
1139,Tennessee,0.9,D2,893,0.3,15603,2959
1140,Tennessee,0.7,D3,584,0.48,7587,1213
1141,Tennessee,0.75,D3,494,0.41,9486,1213
1142,Tennessee,0.8,D3,408,0.34,11587,1213
1143,Tennessee,0.85,D3,334,0.28,13594,1213
1144,Tennessee,0.9,D3,268,0.22,15603,1213
1145,Tennessee,0.7,D4,165,0.44,7587,378
1146,Tennessee,0.75,D4,147,0.39,9486,378
1147,Tennessee,0.8,D4,116,0.31,11587,378
1148,Tennessee,0.85,D4,99,0.26,13594,378
1149,Tennessee,0.9,D4,76,0.2,15603,378
1150,Texas,0.7,D0,80859,0.55,70395,145721
1151,Texas,0.75,D0,75728,0.52,77231,145721
1152,Texas,0.8,D0,70557,0.48,84225,145721
1153,Texas,0.85,D0,65682,0.45,90991,145721
1154,Texas,0.9,D0,60964,0.42,97786,145721
1155,Texas,0.7,D1,41865,0.52,70395,80110
1156,Texas,0.75,D1,39034,0.49,77231,80110
1157,Texas,0.8,D1,36161,0.45,84225,80110
1158,Texas,0.85,D1,33410,0.42,90991,80110
1159,Texas,0.9,D1,30704,0.38,97786,80110
1160,Texas,0.7,D2,23688,0.49,70395,48293
1161,Texas,0.75,D2,22025,0.46,77231,48293
1162,Texas,0.8,D2,20255,0.42,84225,48293
1163,Texas,0.85,D2,18544,0.38,90991,48293
1164,Texas,0.9,D2,16947,0.35,97786,48293
1165,Texas,0.7,D3,10522,0.45,70395,23520
1166,Texas,0.75,D3,9774,0.42,77231,23520
1167,Texas,0.8,D3,8985,0.38,84225,23520
1168,Texas,0.85,D3,8279,0.35,90991,23520
1169,Texas,0.9,D3,7598,0.32,97786,23520
1170,Texas,0.7,D4,3291,0.35,70395,9467
1171,Texas,0.75,D4,3012,0.32,77231,9467
1172,Texas,0.8,D4,2741,0.29,84225,9467
1173,Texas,0.85,D4,2473,0.26,90991,9467
1174,Texas,0.9,D4,2225,0.24,97786,9467
1175,Virginia,0.7,D0,12862,0.66,7403,19388
1176,Virginia,0.75,D0,11778,0.61,9126,19388
1177,Virginia,0.8,D0,10684,0.55,10954,19388
1178,Virginia,0.85,D0,9559,0.49,12924,19388
1179,Virginia,0.9,D0,8428,0.43,15005,19388
1180,Virginia,0.7,D1,3729,0.63,7403,5890
1181,Virginia,0.75,D1,3366,0.57,9126,5890
1182,Virginia,0.8,D1,3017,0.51,10954,5890
1183,Virginia,0.85,D1,2647,0.45,12924,5890
1184,Virginia,0.9,D1,2290,0.39,15005,5890
1185,Virginia,0.7,D2,1409,0.67,7403,2099
1186,Virginia,0.75,D2,1222,0.58,9126,2099
1187,Virginia,0.8,D2,1077,0.51,10954,2099
1188,Virginia,0.85,D2,923,0.44,12924,2099
1189,Virginia,0.9,D2,756,0.36,15005,2099
1190,Virginia,0.7,D3,379,0.72,7403,526
1191,Virginia,0.75,D3,328,0.62,9126,526
1192,Virginia,0.8,D3,284,0.54,10954,526
1193,Virginia,0.85,D3,231,0.44,12924,526
1194,Virginia,0.9,D3,192,0.37,15005,526
1195,Virginia,0.7,D4,39,0.5,7403,78
1196,Virginia,0.75,D4,29,0.37,9126,78
1197,Virginia,0.8,D4,24,0.31,10954,78
1198,Virginia,0.85,D4,18,0.23,12924,78
1199,Virginia,0.9,D4,16,0.21,15005,78
1200,Washington,0.7,D0,19824,0.59,22149,33537
1201,Washington,0.75,D0,18438,0.55,25143,33537
1202,Washington,0.8,D0,17012,0.51,28187,33537
1203,Washington,0.85,D0,15691,0.47,31143,33537
1204,Washington,0.9,D0,14285,0.43,34147,33537
1205,Washington,0.7,D1,8120,0.61,22149,13260
1206,Washington,0.75,D1,7570,0.57,25143,13260
1207,Washington,0.8,D1,7008,0.53,28187,13260
1208,Washington,0.85,D1,6453,0.49,31143,13260
1209,Washington,0.9,D1,5870,0.44,34147,13260
1210,Washington,0.7,D2,3752,0.62,22149,6048
1211,Washington,0.75,D2,3488,0.58,25143,6048
1212,Washington,0.8,D2,3253,0.54,28187,6048
1213,Washington,0.85,D2,3001,0.5,31143,6048
1214,Washington,0.9,D2,2748,0.45,34147,6048
1215,Washington,0.7,D3,532,0.54,22149,990
1216,Washington,0.75,D3,481,0.49,25143,990
1217,Washington,0.8,D3,438,0.44,28187,990
1218,Washington,0.85,D3,402,0.41,31143,990
1219,Washington,0.9,D3,368,0.37,34147,990
1220,Washington,0.7,D4,,,22149,
1221,Washington,0.75,D4,,,25143,
1222,Washington,0.8,D4,,,28187,
1223,Washington,0.85,D4,,,31143,
1224,Washington,0.9,D4,,,34147,
