Commodity Year,Commodity Name,Insurance Plan,State Abbrv,County Code,County Name,Cov. Level Percent,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2007,All Other Commodities,Rainfall Index,TX,031,Blanco,0.9000,7,7,6,38,12,13826,Acres,0,153116,27262,14994,15388,0,0,0,0.178048,0.564448
2007,All Other Commodities,Rainfall Index,TX,047,Brooks,0.7500,4,4,2,28,11,122062,Acres,0,1139030,168709,107972,22046,0,0,0,0.148116,0.130674
2007,All Other Commodities,Rainfall Index,TX,047,Brooks,0.8500,1,1,1,5,2,980,Acres,0,12093,2476,1461,861,0,0,0,0.204746,0.347738
2007,All Other Commodities,Rainfall Index,TX,047,Brooks,0.9000,4,4,2,10,2,16087,Acres,0,210258,42198,23210,1271,0,0,0,0.200696,0.030119
2007,All Other Commodities,Rainfall Index,TX,053,Burnet,0.7500,7,7,7,78,29,7189,Acres,0,105628,15035,9622,16224,0,0,0,0.142339,1.079082
2007,All Other Commodities,Rainfall Index,TX,053,Burnet,0.8500,2,2,2,6,3,7994,Acres,0,83688,11781,6950,6509,0,0,0,0.140772,0.552499
2007,All Other Commodities,Rainfall Index,TX,053,Burnet,0.9000,8,8,8,53,22,4524,Acres,0,86715,16516,9082,16797,0,0,0,0.190463,1.017013
2007,All Other Commodities,Rainfall Index,TX,103,Crane,0.7500,9,9,9,90,30,225416,Acres,0,1601348,364446,233247,235019,0,0,0,0.227587,0.644866
2007,All Other Commodities,Rainfall Index,TX,103,Crane,0.9000,2,2,2,10,3,19290,Acres,0,172454,50490,27769,37170,0,0,0,0.292773,0.736185
2007,All Other Commodities,Rainfall Index,TX,135,Ector,0.7500,4,4,4,48,16,96576,Acres,0,705226,162645,104092,98476,0,0,0,0.230628,0.605465
2007,All Other Commodities,Rainfall Index,TX,135,Ector,0.9000,1,1,1,12,4,5120,Acres,0,45774,13052,7177,7575,0,0,0,0.28514,0.58037
2007,All Other Commodities,Rainfall Index,TX,137,Edwards,0.7500,8,8,5,43,12,59884,Acres,0,553319,95778,61293,52252,0,0,0,0.173097,0.545553
2007,All Other Commodities,Rainfall Index,TX,137,Edwards,0.8000,1,1,1,3,1,3000,Acres,0,19710,4068,2399,4862,0,0,0,0.206392,1.195181
2007,All Other Commodities,Rainfall Index,TX,137,Edwards,0.8500,4,4,1,13,1,18834,Acres,0,176651,35006,20653,6016,0,0,0,0.198164,0.171856
2007,All Other Commodities,Rainfall Index,TX,137,Edwards,0.9000,15,15,7,64,14,84136,Acres,0,926974,203822,112098,81406,0,0,0,0.219878,0.399397
2007,All Other Commodities,Rainfall Index,TX,221,Hood,0.7000,9,9,0,22,0,754,Acres,0,60030,7068,4526,0,0,0,0,0.117741,0
2007,All Other Commodities,Rainfall Index,TX,221,Hood,0.7500,6,6,6,48,15,4566,Acres,0,161854,25316,16202,6888,0,0,0,0.156412,0.27208
